Code postal,Commune,Type local,Prix m2
01210,ORNEX,Maison,4660.839160839161
01210,VERSONNEX,Appartement,3594.7712418300653
01210,VERSONNEX,Maison,3854.1830808080804
01220,DIVONNE-LES-BAINS,Appartement,5087.152777777777
01220,DIVONNE-LES-BAINS,Maison,5525.0
01220,GRILLY,Appartement,5287.852257181943
01220,GRILLY,Maison,4287.301587301588
01220,SAUVERNY,Maison,4718.672839506173
01230,ARANDAS,Maison,1518.4256616502335
01230,ARGIS,Maison,1595.2380952380952
01230,CHALEY,Maison,1240.9420289855072
01230,CLEYZIEU,Maison,1084.375
01230,CONAND,Maison,2543.7135036496347
01230,EVOSGES,Maison,1236.6224315068494
01230,SAINT-RAMBERT-EN-BUGEY,Appartement,1979.7202797202797
01230,SAINT-RAMBERT-EN-BUGEY,Maison,1250.0
01230,TENAY,Appartement,1153.8764367816093
01230,TENAY,Maison,1186.1032196969697
01230,TORCIEU,Maison,1600.0
01240,CERTINES,Appartement,1714.3862520458265
01240,CERTINES,Maison,2262.046261803691
01240,DOMPIERRE-SUR-VEYLE,Maison,2065.3010033444816
01240,LA CHAPELLE DU CHATELARD,Maison,2400.0
01240,LENT,Maison,2311.8279569892475
01240,MARLIEUX,Appartement,1985.3703703703704
01240,MARLIEUX,Maison,2058.504784688995
01240,SAINT-ANDRE-LE-BOUCHOUX,Maison,2768.333333333333
01240,SAINT-PAUL-DE-VARAX,Maison,1748.9010989010985
01250,BOHAS-MEYRIAT-RIGNAT,Maison,1442.1052631578948
01250,CEYZERIAT,Maison,1715.95
01250,CIZE,Maison,1052.6315789473683
01250,CORVEISSIAT,Maison,1756.4228723404256
01250,GRAND-CORENT,Maison,1418.6805555555557
01250,HAUTECOURT-ROMANECHE,Maison,1139.7132352941176
01250,JASSERON,Appartement,1268.6567164179105
01250,JASSERON,Maison,2308.5714285714284
01250,JOURNANS,Maison,1486.9582664526488
01250,MONTAGNAT,Maison,1884.375
01250,NIVIGNE ET SURAN,Maison,1344.1606467148263
01250,REVONNAS,Maison,2010.204081632653
01250,SAINT-JUST,Maison,2121.6666666666665
01250,SIMANDRE-SUR-SURAN,Maison,1411.5
01250,TOSSIAT,Maison,1623.0769230769233
01250,VILLEREVERSURE,Maison,1527.2727272727273
