Commune;Classement
POINTE-NOIRE;Mer
PORT-LOUIS;Mer
SAINT-FRAN‚OIS;Mer
SAINT-LOUIS;Mer
SAINTE-ANNE;Mer
SAINTE-ROSE;Mer
TERRE-DE-BAS;Mer
TERRE-DE-HAUT;Mer
TROIS-RIVIERES;Mer
VIEUX-FORT;Mer
VIEUX-HABITANTS;Mer
LES ANSES-D'ARLET;Mer
BASSE-POINTE;Mer
LE CARBET;Mer
CASE-PILOTE;Mer
LE DIAMANT;Mer
DUCOS;Mer
FORT-DE-FRANCE;Mer
LE FRAN‚OIS;Mer
GRAND'RIVIERE;Mer
LE LAMENTIN;Mer
LE LORRAIN;Mer
MACOUBA;Mer
LE MARIGOT;Mer
LE MARIN;Mer
LE PRECHEUR;Mer
RIVIERE-PILOTE;Mer
RIVIERE-SALEE;Mer
LE ROBERT;Mer
SAINT-PIERRE;Mer
SAINTE-ANNE;Mer
SAINTE-LUCE;Mer
SAINTE-MARIE;Mer
SCHOELCHER;Mer
LA TRINITE;Mer
LES TROIS-ILETS;Mer
LE VAUCLIN;Mer
BELLEFONTAINE;Mer
REGINA;Mer
CAYENNE;Mer
IRACOUBO;Mer
KOUROU;Mer
MACOURIA;Mer
MANA;Mer
MATOURY;Mer
SAINT-GEORGES;Mer
REMIRE-MONTJOLY;Mer
ROURA;Mer
SINNAMARY;Mer
OUANARY;Mer
AWALA-YALIMAPO;Mer
LES AVIRONS;Mer
BRAS-PANON;Mer
ETANG-SALE;Mer
PETITE-ILE;Mer
LE PORT;Mer
LA POSSESSION;Mer
SAINT-ANDRE;Mer
SAINT-BENOëT;Mer
SAINT-DENIS;Mer
SAINT-JOSEPH;Mer
SAINT-LEU;Mer
SAINT-LOUIS;Mer
SAINT-PAUL;Mer
SAINT-PIERRE;Mer
SAINT-PHILIPPE;Mer
SAINTE-MARIE;Mer
SAINTE-ROSE;Mer
SAINTE-SUZANNE;Mer
LES TROIS-BASSINS;Mer
